k,lambda,alpha,fixation,stdDev,sem
8,20,50,0,0,0
8,20,100,0,0,0
8,20,200,0,0,0
8,20,500,0,0,0
8,50,1.1,1,0,0
8,50,1.5,0.98,0.13999999999999993,0.013999999999999993
8,50,2,0.89,0.3128897569432404,0.03128897569432404
8,50,5,0.41,0.49183330509431733,0.04918333050943173
8,50,10,0.04,0.19595917942265415,0.019595917942265416
8,50,20,0,0,0
8,50,50,0,0,0
8,50,100,0,0,0
8,50,200,0,0,0
8,50,500,0,0,0
8,100,1.1,0.95,0.21794494717703378,0.021794494717703377
8,100,1.5,0.99,0.09949874371066196,0.009949874371066196
8,100,2,0.99,0.09949874371066196,0.009949874371066196
8,100,5,0.75,0.4330127018922193,0.04330127018922193
8,100,10,0.38,0.4853864439804638,0.04853864439804638
8,100,20,0.04,0.1959591794226539,0.019595917942265388
8,100,50,0,0,0
8,100,100,0,0,0
8,100,200,0,0,0
8,100,500,0,0,0
8,200,1.1,0.98,0.1399999999999999,0.01399999999999999
8,200,1.5,0.96,0.19595917942265395,0.019595917942265395
8,200,2,0.97,0.17058722109231975,0.017058722109231976
8,200,5,0.91,0.28618176042508375,0.028618176042508374
8,200,10,0.82,0.3841874542459713,0.038418745424597125
8,200,20,0.28,0.4489988864128727,0.04489988864128727
8,200,50,0.01,0.09949874371066199,0.0099498743710662
8,200,100,0,0,0
8,200,200,0,0,0
8,200,500,0,0,0
8,500,1.1,0.99,0.09949874371066199,0.0099498743710662
8,500,1.5,0.99,0.09949874371066196,0.009949874371066196
8,500,2,0.98,0.13999999999999993,0.013999999999999993
8,500,5,0.93,0.25514701644346166,0.025514701644346167
8,500,10,0.86,0.34698703145794935,0.034698703145794936
8,500,20,0.77,0.42083250825001617,0.04208325082500162
8,500,50,0.23,0.4208325082500164,0.04208325082500164
8,500,100,0,0,0
8,500,200,0,0,0
8,500,500,0,0,0
10,1.1,1.1,0,0,0
10,1.1,1.5,0,0,0
10,1.1,2,0,0,0
10,1.1,5,0,0,0
10,1.1,10,0,0,0
10,1.1,20,0,0,0
10,1.1,50,0,0,0
10,1.1,100,0,0,0
10,1.1,200,0,0,0
10,1.1,500,0,0,0
10,1.5,1.1,0,0,0
10,1.5,1.5,0,0,0
10,1.5,2,0,0,0
10,1.5,5,0,0,0
10,1.5,10,0,0,0
10,1.5,20,0,0,0
10,1.5,50,0,0,0
10,1.5,100,0,0,0
10,1.5,200,0,0,0
10,1.5,500,0,0,0
10,2,1.1,0,0,0
10,2,1.5,0,0,0
10,2,2,0,0,0
10,2,5,0,0,0
10,2,10,0,0,0
10,2,20,0,0,0
10,2,50,0,0,0
10,2,100,0,0,0
10,2,200,0,0,0
10,2,500,0,0,0
10,5,1.1,0.01,0.09949874371066199,0.0099498743710662
10,5,1.5,0,0,0
10,5,2,0,0,0
10,5,5,0,0,0
10,5,10,0,0,0
10,5,20,0,0,0
10,5,50,0,0,0
10,5,100,0,0,0
10,5,200,0,0,0
10,5,500,0,0,0
10,10,1.1,0.42,0.4935585071701228,0.049355850717012276
10,10,1.5,0.16,0.3666060555964676,0.03666060555964676
10,10,2,0.06,0.23748684174075807,0.02374868417407581
10,10,5,0,0,0
10,10,10,0,0,0
10,10,20,0,0,0
10,10,50,0,0,0
10,10,100,0,0,0
10,10,200,0,0,0
10,10,500,0,0,0
10,20,1.1,0.97,0.17058722109231997,0.017058722109231997
10,20,1.5,0.76,0.42708313008125287,0.04270831300812529
10,20,2,0.64,0.48,0.048
10,20,5,0.02,0.13999999999999987,0.013999999999999988
10,20,10,0,0,0
10,20,20,0,0,0
10,20,50,0,0,0
10,20,100,0,0,0
10,20,200,0,0,0
10,20,500,0,0,0
10,50,1.1,0.99,0.09949874371066199,0.0099498743710662
10,50,1.5,0.93,0.2551470164434616,0.02551470164434616
10,50,2,0.96,0.19595917942265423,0.019595917942265423
10,50,5,0.5,0.5,0.05
10,50,10,0.06,0.2374868417407582,0.023748684174075822
10,50,20,0,0,0
10,50,50,0,0,0
10,50,100,0,0,0
10,50,200,0,0,0
10,50,500,0,0,0
10,100,1.1,1,0,0
10,100,1.5,0.98,0.13999999999999985,0.013999999999999985
10,100,2,0.94,0.2374868417407583,0.02374868417407583
10,100,5,0.93,0.25514701644346155,0.025514701644346154
10,100,10,0.53,0.49909918853871127,0.049909918853871124
10,100,20,0.07,0.2551470164434615,0.02551470164434615
10,100,50,0,0,0
10,100,100,0,0,0
10,100,200,0,0,0
10,100,500,0,0,0
10,200,1.1,0.98,0.13999999999999987,0.013999999999999988
10,200,1.5,0.95,0.21794494717703367,0.021794494717703367
10,200,2,0.97,0.17058722109231986,0.017058722109231986
10,200,5,0.97,0.1705872210923198,0.01705872210923198
10,200,10,0.86,0.34698703145794946,0.03469870314579494
10,200,20,0.43,0.4950757517794624,0.04950757517794624
10,200,50,0.02,0.13999999999999996,0.013999999999999995
10,200,100,0,0,0
10,200,200,0,0,0
10,200,500,0,0,0
10,500,1.1,1,0,0
10,500,1.5,0.97,0.17058722109231975,0.017058722109231976
10,500,2,0.96,0.19595917942265415,0.019595917942265416
10,500,5,0.9,0.2999999999999998,0.02999999999999998
10,500,10,0.93,0.25514701644346155,0.025514701644346154
10,500,20,0.65,0.4769696007084725,0.04769696007084725
10,500,50,0.36,0.48,0.048
10,500,100,0.02,0.13999999999999993,0.013999999999999993
10,500,200,0,0,0
10,500,500,0,0,0
